,area_above_0p7,area_above_0p8,area_above_0p9,configuration,x_mm,y_mm
0,0.9939396793495752,0.9939396793495752,0.9939396793495752,1,0.0,0.0
1,0.995417010474198,0.995417010474198,0.9573270738489098,2,219.0,0.0
2,0.9970665527718982,0.9970665527718982,0.9936283922450985,3,109.5,189.6595634
3,1.002132412504618,1.002132412504618,1.002132412504618,4,-109.5,189.6595634
4,1.0042997093749344,1.0042997093749344,1.0042997093749344,5,-219.0,0.0
5,1.0040350377539282,1.0040350377539282,1.0040350377539282,6,-109.5,-189.6595634
6,0.9927267674346635,0.9927267674346635,0.9584948099369164,7,109.5,-189.6595634
7,1.0040102140695981,0.9538097033661184,0.7727586811568465,8,438.0,0.0
8,0.9891144605820232,0.9891144605820232,0.8747270739841021,9,328.5,189.6595634
9,0.9986175592584067,0.9986175592584067,0.958156330564316,10,219.0,379.3191269
10,1.0026111693188717,1.0026111693188717,0.9939079473629788,11,0.0,379.3191269
11,0.9900701430141764,0.9900701430141764,0.9803808444615466,12,-219.0,379.3191269
12,1.0029021633988335,1.0029021633988335,0.970690895998003,13,-328.5,189.6595634
13,1.0006657602889337,1.0006657602889337,0.8980112555696378,14,-438.0,0.0
14,1.0042880873303883,1.0042880873303883,0.9618655732966047,15,-328.5,-189.6595634
15,0.9925507298943274,0.9793049461323925,0.7179214798968756,16,-219.0,-379.3191269
16,1.0057188889962578,0.9365757153777652,0.5641454392963384,17,0.0,-379.3191269
17,0.8553431710169395,0.7085592126483542,0.21364366715427602,18,219.0,-379.3191269
18,1.0043755530959764,1.0010498062314201,0.8098193615194379,19,328.5,-189.6595634
19,0.8469793557614449,0.6400425286044706,0.3915644796390331,20,657.0,0.0
20,0.8789019433175133,0.7642625594065333,0.49287136484176436,21,547.5,189.6595634
21,0.9933245820384412,0.9840960597390976,0.7424765668108281,22,438.0,379.3191269
22,0.9925254722006187,0.9882473451652711,0.6733771953636957,23,328.5,568.9786903
23,0.7952179858854298,0.32152597483367645,0.06963530470996736,24,109.5,568.9786903
24,1.0037540300353545,1.0037540300353545,0.8323813907610256,25,-109.5,568.9786903
25,0.9954089487583745,0.9954089487583745,0.7040481443620176,26,-328.5,568.9786903
26,0.9876811901518626,0.9876811901518626,0.8716901607034233,27,-438.0,379.3191269
27,1.0065276420569729,0.9935121984096844,0.8130313798339514,28,-547.5,189.6595634
28,1.0053301734924909,0.9065304840285735,0.5607315709048634,29,-657.0,0.0
29,0.9931427927359193,0.971936896805615,0.7422063575606515,30,-547.5,-189.6595634
30,0.8833783824705,0.3294231073776818,0.0,31,-438.0,-379.3191269
31,0.0033298599779604376,0.0,0.0,32,-328.5,-568.9786903
32,0.35881772829329456,0.0,0.0,33,-109.5,-568.9786903
33,0.5133151699499564,0.017868566042561772,0.0,34,109.5,-568.9786903
34,0.008469103030857754,0.0,0.0,35,328.5,-568.9786903
35,0.7649919854679887,0.09237927169823017,0.0,36,438.0,-379.3191269
36,0.8471159294696624,0.6223543274935164,0.00892555098100219,37,547.5,-189.6595634
37,0.0,0.0,0.0,38,876.0,0.0
38,0.6772882306695168,0.37273580479798907,0.0,39,766.5,189.6595634
39,0.17767447540781478,0.0,0.0,40,657.0,379.3191269
40,0.8652253124958427,0.5507415916069428,0.015803202054718586,41,547.5,568.9786903
41,0.07904858413307919,0.0,0.0,42,438.0,758.6382537
42,0.029714086305882664,0.0,0.0,43,219.0,758.6382537
43,0.7894428711296038,0.5048964296675049,0.17350392772079207,44,0.0,758.6382537
44,0.7984232459649726,0.5809915571520198,0.22183314000349846,45,-219.0,758.6382537
45,0.13587965451022166,0.026643069511808167,0.0,46,-438.0,758.6382537
46,0.8033942192282475,0.25038519388503677,0.0,47,-547.5,568.9786903
47,0.9913890408137767,0.8775496120765708,0.2787721443879607,48,-657.0,379.3191269
48,0.7428666245974892,0.0,0.0,49,-766.5,189.6595634
49,0.0,0.0,0.0,50,-876.0,0.0
50,0.7444630047791603,0.0,0.0,51,-766.5,-189.6595634
51,0.0,0.0,0.0,52,-657.0,-379.3191269
52,0.0,0.0,0.0,53,-547.5,-568.9786903
53,0.0,0.0,0.0,54,-438.0,-758.6382537
54,0.0,0.0,0.0,55,-219.0,-758.6382537
55,0.0,0.0,0.0,56,0.0,-758.6382537
56,0.0,0.0,0.0,57,219.0,-758.6382537
57,0.0,0.0,0.0,58,438.0,-758.6382537
58,0.0,0.0,0.0,59,547.5,-568.9786903
59,0.0,0.0,0.0,60,657.0,-379.3191269
60,0.008390517292071143,0.0,0.0,61,766.5,-189.6595634
61,0.0,0.0,0.0,62,985.5,189.6595634
62,0.0,0.0,0.0,63,876.0,379.3191269
63,0.0,0.0,0.0,64,766.5,568.9786903
64,0.0,0.0,0.0,65,657.0,758.6382537
65,0.0,0.0,0.0,66,328.5,948.2978171
66,0.0,0.0,0.0,67,109.5,948.2978171
67,0.0,0.0,0.0,68,-109.5,948.2978171
68,0.0,0.0,0.0,69,-328.5,948.2978171
69,0.0,0.0,0.0,70,-657.0,758.6382537
70,0.011899595400165514,0.0,0.0,71,-766.5,568.9786903
71,0.0,0.0,0.0,72,-876.0,379.3191269
72,0.0,0.0,0.0,73,-985.5,189.6595634
73,0.0,0.0,0.0,74,-985.5,-189.6595634
74,0.0,0.0,0.0,75,-876.0,-379.3191269
75,0.0,0.0,0.0,76,-766.5,-568.9786903
76,0.0,0.0,0.0,77,-657.0,-758.6382537
77,0.0,0.0,0.0,78,-328.5,-948.2978171
78,0.0,0.0,0.0,79,-109.5,-948.2978171
79,0.0,0.0,0.0,80,109.5,-948.2978171
80,0.0,0.0,0.0,81,328.5,-948.2978171
81,0.0,0.0,0.0,82,657.0,-758.6382537
82,0.0,0.0,0.0,83,766.5,-568.9786903
83,0.0,0.0,0.0,84,876.0,-379.3191269
84,0.0,0.0,0.0,85,985.5,-189.6595634
