,area_above_0p7,area_above_0p8,area_above_0p9,configuration,x_mm,y_mm
0,1.0,1.0,1.0,1,0.0,0.0
1,1.0,1.0,1.0,2,219.0,0.0
2,1.0,1.0,1.0,3,109.5,189.6595634
3,1.0,1.0,1.0,4,-109.5,189.6595634
4,1.0,1.0,1.0,5,-219.0,0.0
5,1.0,1.0,1.0,6,-109.5,-189.6595634
6,1.0,1.0,1.0,7,109.5,-189.6595634
7,1.0,1.0,1.0,8,438.0,0.0
8,1.0,1.0,1.0,9,328.5,189.6595634
9,1.0,1.0,1.0,10,219.0,379.3191269
10,1.0,1.0,1.0,11,0.0,379.3191269
11,1.0,1.0,1.0,12,-219.0,379.3191269
12,1.0,1.0,1.0,13,-328.5,189.6595634
13,1.0,1.0,1.0,14,-438.0,0.0
14,1.0,1.0,1.0,15,-328.5,-189.6595634
15,1.0,1.0,1.0,16,-219.0,-379.3191269
16,1.0,1.0,1.0,17,0.0,-379.3191269
17,1.0,1.0,1.0,18,219.0,-379.3191269
18,1.0,1.0,1.0,19,328.5,-189.6595634
19,1.0,1.0,0.9008528784648188,20,657.0,0.0
20,1.0,1.0,1.0,21,547.5,189.6595634
21,1.0,1.0,0.9365671641791045,22,438.0,379.3191269
22,1.0,0.9872068230277186,0.585820895522388,23,328.5,568.9786903
23,1.0,1.0,0.7787846481876333,24,109.5,568.9786903
24,1.0,1.0,0.7787846481876333,25,-109.5,568.9786903
25,1.0,0.986140724946695,0.5852878464818763,26,-328.5,568.9786903
26,1.0,1.0,0.935501066098081,27,-438.0,379.3191269
27,1.0,1.0,1.0,28,-547.5,189.6595634
28,1.0,1.0,0.9008528784648188,29,-657.0,0.0
29,1.0,1.0,0.976545842217484,30,-547.5,-189.6595634
30,1.0,1.0,0.8464818763326225,31,-438.0,-379.3191269
31,1.0,0.9722814498933902,0.24200426439232411,32,-328.5,-568.9786903
32,1.0,1.0,0.47921108742004265,33,-109.5,-568.9786903
33,1.0,1.0,0.47921108742004265,34,109.5,-568.9786903
34,1.0,0.9722814498933902,0.24200426439232411,35,328.5,-568.9786903
35,1.0,1.0,0.8619402985074627,36,438.0,-379.3191269
36,1.0,1.0,0.976545842217484,37,547.5,-189.6595634
37,0.9952025586353944,0.8901918976545843,0.0,38,876.0,0.0
38,1.0,0.9701492537313433,0.4642857142857143,39,766.5,189.6595634
39,1.0,0.9690831556503198,0.488272921108742,40,657.0,379.3191269
40,0.986140724946695,0.8811300639658848,0.041577825159914705,41,547.5,568.9786903
41,0.9067164179104478,0.6449893390191898,0.0,42,438.0,758.6382537
42,0.9493603411513859,0.7846481876332622,0.0,43,219.0,758.6382537
43,0.9669509594882729,0.7974413646055437,0.0,44,0.0,758.6382537
44,0.9482942430703625,0.767590618336887,0.0,45,-219.0,758.6382537
45,0.912046908315565,0.6487206823027718,0.0,46,-438.0,758.6382537
46,0.9888059701492536,0.8853944562899787,0.05063965884861407,47,-547.5,568.9786903
47,1.0,0.9690831556503198,0.488272921108742,48,-657.0,379.3191269
48,1.0,0.9717484008528785,0.47334754797441364,49,-766.5,189.6595634
49,0.9946695095948828,0.8885927505330491,0.0,50,-876.0,0.0
50,1.0,0.9568230277185501,0.2286780383795309,51,-766.5,-189.6595634
51,1.0,0.9386993603411514,0.15138592750533048,52,-657.0,-379.3191269
52,0.9808102345415778,0.6487206823027718,0.0,53,-547.5,-568.9786903
53,0.7830490405117271,0.08528784648187633,0.0,54,-438.0,-758.6382537
54,0.8928571428571428,0.3310234541577825,0.0,55,-219.0,-758.6382537
55,0.9392324093816631,0.4125799573560768,0.0,56,0.0,-758.6382537
56,0.894456289978678,0.3315565031982942,0.0,57,219.0,-758.6382537
57,0.7830490405117271,0.08528784648187633,0.0,58,438.0,-758.6382537
58,0.9808102345415778,0.6497867803837953,0.0,59,547.5,-568.9786903
59,1.0,0.9392324093816631,0.15351812366737738,60,657.0,-379.3191269
60,1.0,0.9578891257995735,0.23347547974413646,61,766.5,-189.6595634
61,0.9227078891257995,0.6769722814498933,0.0,62,985.5,189.6595634
62,0.9376332622601279,0.7633262260127931,0.0,63,876.0,379.3191269
63,0.9051172707889126,0.6130063965884861,0.0,64,766.5,568.9786903
64,0.7606609808102346,0.0,0.0,65,657.0,758.6382537
65,0.4786780383795309,0.0,0.0,66,328.5,948.2978171
66,0.6721748400852879,0.0,0.0,67,109.5,948.2978171
67,0.6764392324093816,0.0,0.0,68,-109.5,948.2978171
68,0.4770788912579957,0.0,0.0,69,-328.5,948.2978171
69,0.7665245202558635,0.0,0.0,70,-657.0,758.6382537
70,0.9099147121535182,0.6167377398720681,0.0,71,-766.5,568.9786903
71,0.9376332622601279,0.7627931769722814,0.0,72,-876.0,379.3191269
72,0.9221748400852878,0.6748400852878464,0.0,73,-985.5,189.6595634
73,0.8992537313432836,0.38646055437100213,0.0,74,-985.5,-189.6595634
74,0.8912579957356076,0.296908315565032,0.0,75,-876.0,-379.3191269
75,0.7606609808102346,0.0,0.0,76,-766.5,-568.9786903
76,0.18869936034115137,0.0,0.0,77,-657.0,-758.6382537
77,0.0,0.0,0.0,78,-328.5,-948.2978171
78,0.12260127931769722,0.0,0.0,79,-109.5,-948.2978171
79,0.12313432835820895,0.0,0.0,80,109.5,-948.2978171
80,0.0,0.0,0.0,81,328.5,-948.2978171
81,0.18923240938166314,0.0,0.0,82,657.0,-758.6382537
82,0.8017057569296374,0.010127931769722815,0.0,83,766.5,-568.9786903
83,0.8912579957356076,0.2921108742004264,0.0,84,876.0,-379.3191269
84,0.902452025586354,0.37846481876332627,0.0,85,985.5,-189.6595634
