,area_above_0p7,area_above_0p8,area_above_0p9,configuration,x_mm,y_mm
0,1.0009122432519835,1.0009122432519835,0.9822669686105411,1,0.0,0.0
1,1.0001335698275804,1.0001335698275804,0.8701162057499949,2,219.0,0.0
2,1.0008001936273099,1.0008001936273099,0.9139920037553897,3,109.5,189.6595634
3,1.0026498830604154,1.0026498830604154,0.9793816368290554,4,-109.5,189.6595634
4,1.0008300200888962,1.0008300200888962,0.9751077532174527,5,-219.0,0.0
5,1.002762944768781,1.002762944768781,0.9244882001349309,6,-109.5,-189.6595634
6,0.998669612150664,0.9934940855536974,0.8229087289176802,7,109.5,-189.6595634
7,0.9830420964707307,0.8877753764475842,0.6420148523299014,8,438.0,0.0
8,1.0008671681695585,0.9772035735273915,0.752090768844518,9,328.5,189.6595634
9,0.9818944601264253,0.8899492081491618,0.6211861639079299,10,219.0,379.3191269
10,1.0015741365105384,1.0015741365105384,0.9412588153127027,11,0.0,379.3191269
11,1.0005158222221204,1.0005158222221204,0.8575254359628758,12,-219.0,379.3191269
12,0.9992980267001967,0.9992980267001967,0.8866529886776299,13,-328.5,189.6595634
13,1.0006239770377077,0.9972463433599432,0.7798111753538591,14,-438.0,0.0
14,0.9993886247822616,0.9993886247822616,0.8913873950549291,15,-328.5,-189.6595634
15,0.9901839315458321,0.8592083460117473,0.4920089365679741,16,-219.0,-379.3191269
16,0.9854324474193459,0.8731221317208175,0.5814776022456066,17,0.0,-379.3191269
17,0.9793705629510782,0.8688641517468451,0.6342628375447301,18,219.0,-379.3191269
18,1.0020260189952528,0.9540056027494739,0.7189056482128481,19,328.5,-189.6595634
19,0.5951564280277976,0.0843060899608799,0.0,20,657.0,0.0
20,0.8788041076068973,0.6376421400223319,0.012181819988486341,21,547.5,189.6595634
21,0.9554111231346012,0.8113712753786643,0.34573553484908415,22,438.0,379.3191269
22,1.0009881687377455,0.8991278577644326,0.48211327637368845,23,328.5,568.9786903
23,0.9931162634013803,0.8487934663916252,0.41004418984677626,24,109.5,568.9786903
24,0.9974911095100709,0.9974911095100709,0.7848476559323427,25,-109.5,568.9786903
25,0.9840510632893342,0.8850697664591021,0.49243709628845184,26,-328.5,568.9786903
26,0.9980749650833582,0.9886186131316642,0.7425385452978043,27,-438.0,379.3191269
27,1.0004938655283775,0.946694726744386,0.6630265404287952,28,-547.5,189.6595634
28,0.913888942946585,0.7169898995938717,0.21623171356450585,29,-657.0,0.0
29,0.9883999916459382,0.8468033636292449,0.26781624665600834,30,-547.5,-189.6595634
30,0.11302517104515057,0.020073968602613616,0.0,31,-438.0,-379.3191269
31,0.8161294091465485,0.6456343584908323,0.174900607520205,32,-328.5,-568.9786903
32,0.0,0.0,0.0,33,-109.5,-568.9786903
33,0.7178030795053937,0.5076345902625726,0.0,34,109.5,-568.9786903
34,0.027952724733036886,0.0,0.0,35,328.5,-568.9786903
35,0.09304926722860501,0.0,0.0,36,438.0,-379.3191269
36,0.7972081831330442,0.6320142580434958,0.24539410077476453,37,547.5,-189.6595634
37,0.0,0.0,0.0,38,876.0,0.0
38,0.16162776703494947,0.0,0.0,39,766.5,189.6595634
39,0.2077066309142879,0.0,0.0,40,657.0,379.3191269
40,0.7531230051435105,0.47065416388340015,0.13665384482583717,41,547.5,568.9786903
41,0.9519799967824355,0.7358827223198255,0.3193790600513574,42,438.0,758.6382537
42,0.8654897744510907,0.3859983530160624,0.12666177111532098,43,219.0,758.6382537
43,0.9444788834120965,0.6798915656213153,0.314756903618931,44,0.0,758.6382537
44,0.9832678374994378,0.782111395674173,0.45575821442837194,45,-219.0,758.6382537
45,0.8717261068021152,0.5607983715280366,0.1787381083526297,46,-438.0,758.6382537
46,0.8673483191512749,0.32525561968172806,0.0531864535328612,47,-547.5,568.9786903
47,0.9777107405193878,0.8366045952782447,0.5027042732315834,48,-657.0,379.3191269
48,0.8205801790618809,0.48086041198213786,0.0,49,-766.5,189.6595634
49,0.0,0.0,0.0,50,-876.0,0.0
50,0.044094190960989384,0.0,0.0,51,-766.5,-189.6595634
51,0.6405800708818256,0.0,0.0,52,-657.0,-379.3191269
52,0.0,0.0,0.0,53,-547.5,-568.9786903
53,0.0,0.0,0.0,54,-438.0,-758.6382537
54,0.0,0.0,0.0,55,-219.0,-758.6382537
55,0.0,0.0,0.0,56,0.0,-758.6382537
56,0.0,0.0,0.0,57,219.0,-758.6382537
57,0.0,0.0,0.0,58,438.0,-758.6382537
58,0.09589725800956762,0.0,0.0,59,547.5,-568.9786903
59,0.5031916360803218,0.1596648142171076,0.0,60,657.0,-379.3191269
60,0.44629970977744793,0.1075819127641236,0.0,61,766.5,-189.6595634
61,0.0,0.0,0.0,62,985.5,189.6595634
62,0.04501769782933543,0.0,0.0,63,876.0,379.3191269
63,0.0,0.0,0.0,64,766.5,568.9786903
64,0.20918759040564522,0.044215494242045794,0.0,65,657.0,758.6382537
65,0.7802102475271745,0.5121725819718844,0.20654426819847435,66,328.5,948.2978171
66,0.9340347662570191,0.6815294809549044,0.3487689232321685,67,109.5,948.2978171
67,0.6296975106636582,0.40823075090118927,0.09906063043506447,68,-109.5,948.2978171
68,0.7949197135380583,0.5226457543899606,0.19969620032155438,69,-328.5,948.2978171
69,0.8868315260006695,0.7271759961740183,0.3977383374628853,70,-657.0,758.6382537
70,0.357345084714482,0.007409406377373738,0.0,71,-766.5,568.9786903
71,0.4654858198230713,0.06191302835788528,0.0,72,-876.0,379.3191269
72,0.0,0.0,0.0,73,-985.5,189.6595634
73,0.0,0.0,0.0,74,-985.5,-189.6595634
74,0.45769055905692513,0.025563095819109462,0.0,75,-876.0,-379.3191269
75,0.3221545788041535,0.03724982866340948,0.0,76,-766.5,-568.9786903
76,0.0,0.0,0.0,77,-657.0,-758.6382537
77,0.0,0.0,0.0,78,-328.5,-948.2978171
78,0.0,0.0,0.0,79,-109.5,-948.2978171
79,0.0,0.0,0.0,80,109.5,-948.2978171
80,0.0,0.0,0.0,81,328.5,-948.2978171
81,0.0,0.0,0.0,82,657.0,-758.6382537
82,0.0,0.0,0.0,83,766.5,-568.9786903
83,0.15880600215660495,0.0,0.0,84,876.0,-379.3191269
84,0.4223810501689879,0.13337356072776888,0.0,85,985.5,-189.6595634
