,area_above_0p7,area_above_0p8,area_above_0p9,configuration,x_mm,y_mm
0,1.0,1.0,1.0,1,0.0,0.0
1,1.0,1.0,1.0,2,219.0,0.0
2,1.0,1.0,1.0,3,109.5,189.6595634
3,1.0,1.0,1.0,4,-109.5,189.6595634
4,1.0,1.0,1.0,5,-219.0,0.0
5,1.0,1.0,1.0,6,-109.5,-189.6595634
6,1.0,1.0,1.0,7,109.5,-189.6595634
7,1.0,1.0,0.9360341151385927,8,438.0,0.0
8,1.0,1.0,0.9664179104477613,9,328.5,189.6595634
9,1.0,1.0,0.9339019189765458,10,219.0,379.3191269
10,1.0,1.0,0.9232409381663114,11,0.0,379.3191269
11,1.0,1.0,0.9269722814498934,12,-219.0,379.3191269
12,1.0,1.0,0.9664179104477613,13,-328.5,189.6595634
13,1.0,1.0,0.9376332622601279,14,-438.0,0.0
14,1.0,1.0,0.9984008528784648,15,-328.5,-189.6595634
15,1.0,1.0,0.9829424307036247,16,-219.0,-379.3191269
16,1.0,1.0,0.9989339019189765,17,0.0,-379.3191269
17,1.0,1.0,0.9856076759061834,18,219.0,-379.3191269
18,1.0,1.0,0.9984008528784648,19,328.5,-189.6595634
19,0.9872068230277186,0.9392324093816631,0.8326226012793176,20,657.0,0.0
20,1.0,0.970682302771855,0.8459488272921108,21,547.5,189.6595634
21,1.0,1.0,0.8550106609808102,22,438.0,379.3191269
22,1.0,0.9594882729211086,0.7654584221748401,23,328.5,568.9786903
23,1.0,0.9664179104477613,0.8091684434968017,24,109.5,568.9786903
24,1.0,0.9642857142857142,0.8081023454157782,25,-109.5,568.9786903
25,1.0,0.9594882729211086,0.7654584221748401,26,-328.5,568.9786903
26,1.0,1.0,0.8901918976545843,27,-438.0,379.3191269
27,1.0,0.970682302771855,0.8459488272921108,28,-547.5,189.6595634
28,0.9973347547974413,0.9498933901918977,0.8406183368869936,29,-657.0,0.0
29,1.0,0.988272921108742,0.8939232409381663,30,-547.5,-189.6595634
30,1.0,1.0,0.9488272921108741,31,-438.0,-379.3191269
31,1.0,0.9888059701492536,0.904051172707889,32,-328.5,-568.9786903
32,1.0,1.0,0.9371002132196162,33,-109.5,-568.9786903
33,1.0,1.0,0.9371002132196162,34,109.5,-568.9786903
34,1.0,0.9888059701492536,0.904051172707889,35,328.5,-568.9786903
35,1.0,1.0,0.9488272921108741,36,438.0,-379.3191269
36,1.0,0.988272921108742,0.8939232409381663,37,547.5,-189.6595634
37,0.9184434968017058,0.8544776119402985,0.7126865671641791,38,876.0,0.0
38,0.9482942430703625,0.8843283582089552,0.7430703624733475,39,766.5,189.6595634
39,0.9989339019189765,0.9163113006396587,0.7105543710021323,40,657.0,379.3191269
40,1.0,0.9163113006396587,0.67590618336887,41,547.5,568.9786903
41,0.9834754797441364,0.8678038379530916,0.5634328358208955,42,438.0,758.6382537
42,0.9594882729211086,0.8736673773987207,0.6130063965884861,43,219.0,758.6382537
43,0.9456289978678039,0.8560767590618337,0.6204690831556503,44,0.0,758.6382537
44,0.9573560767590618,0.871002132196162,0.6071428571428571,45,-219.0,758.6382537
45,0.9616204690831557,0.8416844349680171,0.5538379530916845,46,-438.0,758.6382537
46,1.0,0.9131130063965885,0.6737739872068229,47,-547.5,568.9786903
47,0.9989339019189765,0.9163113006396587,0.7105543710021323,48,-657.0,379.3191269
48,0.9482942430703625,0.8843283582089552,0.7430703624733475,49,-766.5,189.6595634
49,0.9168443496801706,0.8571428571428571,0.7158848614072495,50,-876.0,0.0
50,0.9632196162046909,0.9093816631130064,0.7889125799573561,51,-766.5,-189.6595634
51,1.0,0.982409381663113,0.8560767590618337,52,-657.0,-379.3191269
52,1.0,0.9813432835820896,0.8752665245202559,53,-547.5,-568.9786903
53,1.0,0.9989339019189765,0.8843283582089552,54,-438.0,-758.6382537
54,1.0,1.0,0.9371002132196162,55,-219.0,-758.6382537
55,1.0,1.0,0.9477611940298507,56,0.0,-758.6382537
56,1.0,1.0,0.9392324093816631,57,219.0,-758.6382537
57,1.0,0.9989339019189765,0.8843283582089552,58,438.0,-758.6382537
58,1.0,0.9808102345415778,0.8731343283582089,59,547.5,-568.9786903
59,1.0,0.9722814498933902,0.847547974413646,60,657.0,-379.3191269
60,0.9690831556503198,0.9104477611940298,0.7862473347547974,61,766.5,-189.6595634
61,0.8811300639658848,0.8043710021321961,0.6012793176972282,62,985.5,189.6595634
62,0.9259061833688699,0.80863539445629,0.570362473347548,63,876.0,379.3191269
63,0.9648187633262261,0.8502132196162047,0.5538379530916845,64,766.5,568.9786903
64,0.9360341151385927,0.7750533049040511,0.47121535181236673,65,657.0,758.6382537
65,0.9482942430703625,0.7910447761194029,0.4653518123667377,66,328.5,948.2978171
66,0.9610874200426438,0.8246268656716418,0.5170575692963753,67,109.5,948.2978171
67,0.9610874200426438,0.82409381663113,0.5181236673773987,68,-109.5,948.2978171
68,0.9445628997867803,0.7910447761194029,0.4802771855010661,69,-328.5,948.2978171
69,0.9371002132196162,0.7809168443496801,0.47228144989339016,70,-657.0,758.6382537
70,0.9648187633262261,0.8502132196162047,0.5538379530916845,71,-766.5,568.9786903
71,0.9253731343283582,0.8081023454157782,0.5687633262260128,72,-876.0,379.3191269
72,0.8816631130063967,0.8070362473347549,0.6050106609808102,73,-985.5,189.6595634
73,0.9189765458422174,0.8566098081023454,0.7078891257995735,74,-985.5,-189.6595634
74,0.9546908315565032,0.8875266524520256,0.7531982942430703,75,-876.0,-379.3191269
75,1.0,0.9786780383795309,0.8123667377398721,76,-766.5,-568.9786903
76,0.9898720682302772,0.9445628997867803,0.7665245202558635,77,-657.0,-758.6382537
77,1.0,0.9850746268656716,0.6871002132196162,78,-328.5,-948.2978171
78,1.0,0.9978678038379531,0.697228144989339,79,-109.5,-948.2978171
79,1.0,0.9978678038379531,0.6961620469083155,80,109.5,-948.2978171
80,1.0,0.9850746268656716,0.6871002132196162,81,328.5,-948.2978171
81,0.9898720682302772,0.9445628997867803,0.7665245202558635,82,657.0,-758.6382537
82,1.0,0.9722814498933902,0.796908315565032,83,766.5,-568.9786903
83,0.9605543710021321,0.8816631130063967,0.7260127931769723,84,876.0,-379.3191269
84,0.8992537313432836,0.8336886993603412,0.662046908315565,85,985.5,-189.6595634
