,area_above_0p7,area_above_0p8,area_above_0p9,configuration,x_mm,y_mm
0,1.0,1.0,1.0,1,0.0,0.0
1,1.0,1.0,1.0,2,219.0,0.0
2,1.0,1.0,1.0,3,109.5,189.6595634
3,1.0,1.0,1.0,4,-109.5,189.6595634
4,1.0,1.0,1.0,5,-219.0,0.0
5,1.0,1.0,1.0,6,-109.5,-189.6595634
6,1.0,1.0,1.0,7,109.5,-189.6595634
7,1.0,1.0,1.0,8,438.0,0.0
8,1.0,1.0,1.0,9,328.5,189.6595634
9,1.0,1.0,1.0,10,219.0,379.3191269
10,1.0,1.0,1.0,11,0.0,379.3191269
11,1.0,1.0,1.0,12,-219.0,379.3191269
12,1.0,1.0,1.0,13,-328.5,189.6595634
13,1.0,1.0,1.0,14,-438.0,0.0
14,1.0,1.0,1.0,15,-328.5,-189.6595634
15,1.0,1.0,1.0,16,-219.0,-379.3191269
16,1.0,1.0,1.0,17,0.0,-379.3191269
17,1.0,1.0,1.0,18,219.0,-379.3191269
18,1.0,1.0,1.0,19,328.5,-189.6595634
19,1.0,1.0,1.0,20,657.0,0.0
20,1.0,1.0,1.0,21,547.5,189.6595634
21,1.0,1.0,1.0,22,438.0,379.3191269
22,1.0,1.0,0.9952025586353944,23,328.5,568.9786903
23,1.0,1.0,1.0,24,109.5,568.9786903
24,1.0,1.0,1.0,25,-109.5,568.9786903
25,1.0,1.0,0.9946695095948828,26,-328.5,568.9786903
26,1.0,1.0,1.0,27,-438.0,379.3191269
27,1.0,1.0,1.0,28,-547.5,189.6595634
28,1.0,1.0,1.0,29,-657.0,0.0
29,1.0,1.0,1.0,30,-547.5,-189.6595634
30,1.0,1.0,1.0,31,-438.0,-379.3191269
31,1.0,1.0,0.9898720682302772,32,-328.5,-568.9786903
32,1.0,1.0,1.0,33,-109.5,-568.9786903
33,1.0,1.0,1.0,34,109.5,-568.9786903
34,1.0,1.0,0.9898720682302772,35,328.5,-568.9786903
35,1.0,1.0,1.0,36,438.0,-379.3191269
36,1.0,1.0,1.0,37,547.5,-189.6595634
37,1.0,1.0,0.9104477611940298,38,876.0,0.0
38,1.0,1.0,0.9808102345415778,39,766.5,189.6595634
39,1.0,1.0,0.9797441364605544,40,657.0,379.3191269
40,1.0,1.0,0.904051172707889,41,547.5,568.9786903
41,1.0,0.9712153518123666,0.7126865671641791,42,438.0,758.6382537
42,1.0,0.9968017057569296,0.8187633262260128,43,219.0,758.6382537
43,1.0,1.0,0.8326226012793176,44,0.0,758.6382537
44,1.0,0.9973347547974413,0.8049040511727078,45,-219.0,758.6382537
45,1.0,0.9733475479744137,0.7169509594882728,46,-438.0,758.6382537
46,1.0,1.0,0.9067164179104478,47,-547.5,568.9786903
47,1.0,1.0,0.9797441364605544,48,-657.0,379.3191269
48,1.0,1.0,0.9808102345415778,49,-766.5,189.6595634
49,1.0,1.0,0.9099147121535182,50,-876.0,0.0
50,1.0,1.0,0.9728144989339018,51,-766.5,-189.6595634
51,1.0,1.0,0.9573560767590618,52,-657.0,-379.3191269
52,1.0,1.0,0.7356076759061834,53,-547.5,-568.9786903
53,1.0,0.9472281449893389,0.15938166311300642,54,-438.0,-758.6382537
54,1.0,0.9978678038379531,0.39872068230277186,55,-219.0,-758.6382537
55,1.0,1.0,0.4861407249466951,56,0.0,-758.6382537
56,1.0,0.9984008528784648,0.3965884861407249,57,219.0,-758.6382537
57,1.0,0.9472281449893389,0.15884861407249465,58,438.0,-758.6382537
58,1.0,1.0,0.7372068230277186,59,547.5,-568.9786903
59,1.0,1.0,0.9578891257995735,60,657.0,-379.3191269
60,1.0,1.0,0.9738805970149254,61,766.5,-189.6595634
61,1.0,0.9813432835820896,0.7409381663113006,62,985.5,189.6595634
62,1.0,0.9888059701492536,0.8049040511727078,63,876.0,379.3191269
63,1.0,0.9690831556503198,0.6881663113006397,64,766.5,568.9786903
64,0.9888059701492536,0.915778251599147,0.0,65,657.0,758.6382537
65,0.9658848614072494,0.8539445628997868,0.0,66,328.5,948.2978171
66,0.982409381663113,0.8912579957356076,0.0,67,109.5,948.2978171
67,0.982409381663113,0.8917910447761194,0.0,68,-109.5,948.2978171
68,0.9658848614072494,0.8539445628997868,0.0,69,-328.5,948.2978171
69,0.9888059701492536,0.9163113006396587,0.0010660980810234541,70,-657.0,758.6382537
70,1.0,0.9712153518123666,0.6956289978678039,71,-766.5,568.9786903
71,1.0,0.9888059701492536,0.8049040511727078,72,-876.0,379.3191269
72,1.0,0.9813432835820896,0.7398720682302772,73,-985.5,189.6595634
73,1.0,0.9770788912579957,0.5394456289978677,74,-985.5,-189.6595634
74,1.0,0.9754797441364605,0.4429637526652452,75,-876.0,-379.3191269
75,1.0,0.9434968017057569,0.03411513859275053,76,-766.5,-568.9786903
76,0.9749466950959489,0.794776119402985,0.0,77,-657.0,-758.6382537
77,0.9307036247334755,0.5090618336886994,0.0,78,-328.5,-948.2978171
78,0.9584221748400853,0.6982942430703625,0.0,79,-109.5,-948.2978171
79,0.9584221748400853,0.6982942430703625,0.0,80,109.5,-948.2978171
80,0.9307036247334755,0.5101279317697228,0.0,81,328.5,-948.2978171
81,0.9749466950959489,0.794776119402985,0.0,82,657.0,-758.6382537
82,1.0,0.9482942430703625,0.09328358208955223,83,766.5,-568.9786903
83,1.0,0.9754797441364605,0.4397654584221748,84,876.0,-379.3191269
84,1.0,0.9792110874200426,0.5341151385927505,85,985.5,-189.6595634
