,xpos,ypos,camnum
0,0.0,0.0,1
1,219.0,0.0,2
2,109.5,189.6595634,3
3,-109.5,189.6595634,4
4,-219.0,0.0,5
5,-109.5,-189.6595634,6
6,109.5,-189.6595634,7
7,438.0,0.0,8
8,328.5,189.6595634,9
9,219.0,379.3191269,10
10,0.0,379.3191269,11
11,-219.0,379.3191269,12
12,-328.5,189.6595634,13
13,-438.0,0.0,14
14,-328.5,-189.6595634,15
15,-219.0,-379.3191269,16
16,0.0,-379.3191269,17
17,219.0,-379.3191269,18
18,328.5,-189.6595634,19
19,657.0,0.0,20
20,547.5,189.6595634,21
21,438.0,379.3191269,22
22,328.5,568.9786903,23
23,109.5,568.9786903,24
24,-109.5,568.9786903,25
25,-328.5,568.9786903,26
26,-438.0,379.3191269,27
27,-547.5,189.6595634,28
28,-657.0,0.0,29
29,-547.5,-189.6595634,30
30,-438.0,-379.3191269,31
31,-328.5,-568.9786903,32
32,-109.5,-568.9786903,33
33,109.5,-568.9786903,34
34,328.5,-568.9786903,35
35,438.0,-379.3191269,36
36,547.5,-189.6595634,37
37,876.0,0.0,38
38,766.5,189.6595634,39
39,657.0,379.3191269,40
40,547.5,568.9786903,41
41,438.0,758.6382537,42
42,219.0,758.6382537,43
43,0.0,758.6382537,44
44,-219.0,758.6382537,45
45,-438.0,758.6382537,46
46,-547.5,568.9786903,47
47,-657.0,379.3191269,48
48,-766.5,189.6595634,49
49,-876.0,0.0,50
50,-766.5,-189.6595634,51
51,-657.0,-379.3191269,52
52,-547.5,-568.9786903,53
53,-438.0,-758.6382537,54
54,-219.0,-758.6382537,55
55,0.0,-758.6382537,56
56,219.0,-758.6382537,57
57,438.0,-758.6382537,58
58,547.5,-568.9786903,59
59,657.0,-379.3191269,60
60,766.5,-189.6595634,61
61,985.5,189.6595634,62
62,876.0,379.3191269,63
63,766.5,568.9786903,64
64,657.0,758.6382537,65
65,328.5,948.2978171,66
66,109.5,948.2978171,67
67,-109.5,948.2978171,68
68,-328.5,948.2978171,69
69,-657.0,758.6382537,70
70,-766.5,568.9786903,71
71,-876.0,379.3191269,72
72,-985.5,189.6595634,73
73,-985.5,-189.6595634,74
74,-876.0,-379.3191269,75
75,-766.5,-568.9786903,76
76,-657.0,-758.6382537,77
77,-328.5,-948.2978171,78
78,-109.5,-948.2978171,79
79,109.5,-948.2978171,80
80,328.5,-948.2978171,81
81,657.0,-758.6382537,82
82,766.5,-568.9786903,83
83,876.0,-379.3191269,84
84,985.5,-189.6595634,85
