,area_above_0p7,area_above_0p8,area_above_0p9,configuration,x_mm,y_mm
0,1.0,1.0,0.9077825159914712,1,0.0,0.0
1,1.0,1.0,0.9696162046908317,2,219.0,0.0
2,1.0,1.0,0.9205756929637526,3,109.5,189.65956342879207
3,1.0,1.0,0.9205756929637526,4,-109.5,189.65956342879207
4,1.0,1.0,0.9696162046908317,5,-219.0,0.0
5,1.0,1.0,0.9493603411513859,6,-109.5,-189.65956342879207
6,1.0,1.0,0.9504264392324093,7,109.5,-189.65956342879207
7,1.0,1.0,1.0,8,438.0,0.0
8,1.0,1.0,1.0,9,328.50000000000006,189.65956342879207
9,1.0,1.0,0.9776119402985074,10,219.0,379.31912685758414
10,1.0,1.0,0.8976545842217484,11,0.0,379.31912685758414
11,1.0,1.0,0.9781449893390192,12,-219.0,379.31912685758414
12,1.0,1.0,1.0,13,-328.50000000000006,189.65956342879207
13,1.0,1.0,1.0,14,-438.0,0.0
14,1.0,1.0,1.0,15,-328.50000000000006,-189.65956342879207
15,1.0,1.0,0.9914712153518124,16,-219.0,-379.31912685758414
16,1.0,1.0,0.9786780383795309,17,0.0,-379.31912685758414
17,1.0,1.0,0.9936034115138592,18,219.0,-379.31912685758414
18,1.0,1.0,1.0,19,328.50000000000006,-189.65956342879207
19,1.0,1.0,0.6108742004264393,20,657.0000000000001,0.0
20,1.0,1.0,1.0,21,547.5,189.65956342879207
21,1.0,1.0,1.0,22,438.0,379.31912685758414
22,1.0,1.0,1.0,23,328.50000000000006,568.9786902863763
23,1.0,1.0,0.9424307036247335,24,109.50000000000004,568.9786902863763
24,1.0,1.0,0.9418976545842217,25,-109.49999999999996,568.9786902863763
25,1.0,1.0,1.0,26,-328.50000000000006,568.9786902863763
26,1.0,1.0,1.0,27,-438.00000000000006,379.31912685758414
27,1.0,1.0,1.0,28,-547.5000000000001,189.65956342879207
28,1.0,1.0,0.6130063965884861,29,-657.0000000000001,0.0
29,1.0,1.0,1.0,30,-547.5,-189.65956342879207
30,1.0,1.0,1.0,31,-438.0,-379.31912685758414
31,1.0,1.0,1.0,32,-328.50000000000006,-568.9786902863763
32,1.0,1.0,0.9936034115138592,33,-109.50000000000004,-568.9786902863763
33,1.0,1.0,0.9936034115138592,34,109.49999999999996,-568.9786902863763
34,1.0,1.0,1.0,35,328.50000000000006,-568.9786902863763
35,1.0,1.0,1.0,36,438.00000000000006,-379.31912685758414
36,1.0,1.0,1.0,37,547.5000000000001,-189.65956342879207
37,1.0,1.0,0.7830490405117271,38,876.0,0.0
38,1.0,1.0,0.9989339019189765,39,766.5,189.65956342879207
39,1.0,1.0,0.49946695095948823,40,657.0000000000001,379.31912685758414
40,1.0,1.0,1.0,41,547.5,568.9786902863763
41,1.0,1.0,1.0,42,438.0,758.6382537151683
42,1.0,1.0,1.0,43,219.0,758.6382537151683
43,1.0,1.0,0.9520255863539445,44,0.0,758.6382537151683
44,1.0,1.0,1.0,45,-219.00000000000009,758.6382537151683
45,1.0,1.0,1.0,46,-438.0,758.6382537151683
46,1.0,1.0,1.0,47,-547.5,568.9786902863763
47,1.0,1.0,0.4989339019189766,48,-657.0000000000001,379.31912685758414
48,1.0,1.0,0.9984008528784648,49,-766.5,189.65956342879207
49,1.0,1.0,0.8235607675906184,50,-876.0,0.0
50,1.0,1.0,0.9941364605543709,51,-766.5,-189.65956342879207
51,1.0,1.0,0.8608742004264393,52,-657.0000000000001,-379.31912685758414
52,1.0,1.0,1.0,53,-547.5,-568.9786902863763
53,1.0,1.0,1.0,54,-438.0,-758.6382537151683
54,1.0,1.0,1.0,55,-219.0,-758.6382537151683
55,1.0,1.0,1.0,56,0.0,-758.6382537151683
56,1.0,1.0,1.0,57,219.00000000000009,-758.6382537151683
57,1.0,1.0,1.0,58,438.0,-758.6382537151683
58,1.0,1.0,1.0,59,547.5,-568.9786902863763
59,1.0,1.0,0.8619402985074627,60,657.0000000000001,-379.31912685758414
60,1.0,1.0,0.9936034115138592,61,766.5,-189.65956342879207
61,0.9770788912579957,0.5405117270788913,0.23720682302771853,62,985.5,189.65956342879207
62,1.0,1.0,0.6551172707889126,63,876.0,379.31912685758414
63,1.0,1.0,1.0,64,766.5,568.9786902863763
64,1.0,1.0,0.908315565031983,65,657.0000000000001,758.6382537151683
65,1.0,1.0,1.0,66,328.5,948.2978171439604
66,1.0,1.0,0.9984008528784648,67,109.49999999999996,948.2978171439604
67,1.0,1.0,0.9984008528784648,68,-109.50000000000009,948.2978171439604
68,1.0,1.0,1.0,69,-328.50000000000006,948.2978171439604
69,1.0,1.0,0.915778251599147,70,-657.0,758.6382537151683
70,1.0,1.0,1.0,71,-766.4999999999999,568.9786902863763
71,1.0,1.0,0.6513859275053304,72,-876.0,379.31912685758414
72,0.9973347547974413,0.5410447761194029,0.23827292110874201,73,-985.5,189.65956342879207
73,1.0,0.5687633262260128,0.2484008528784648,74,-985.5,-189.65956342879207
74,1.0,1.0,0.6982942430703625,75,-876.0,-379.31912685758414
75,1.0,1.0,1.0,76,-766.5,-568.9786902863763
76,1.0,1.0,0.9984008528784648,77,-657.0000000000001,-758.6382537151683
77,1.0,1.0,1.0,78,-328.5,-948.2978171439604
78,1.0,1.0,1.0,79,-109.49999999999996,-948.2978171439604
79,1.0,1.0,1.0,80,109.50000000000009,-948.2978171439604
80,1.0,1.0,1.0,81,328.50000000000006,-948.2978171439604
81,1.0,1.0,0.9989339019189765,82,657.0,-758.6382537151683
