,area_above_0p7,area_above_0p8,area_above_0p9,configuration,x_mm,y_mm
0,1.0,1.0,1.0,1,0.0,0.0
1,1.0,1.0,1.0,2,219.0,0.0
2,1.0,1.0,1.0,3,109.5,189.65956342879207
3,1.0,1.0,1.0,4,-109.5,189.65956342879207
4,1.0,1.0,1.0,5,-219.0,0.0
5,1.0,1.0,1.0,6,-109.5,-189.65956342879207
6,1.0,1.0,1.0,7,109.5,-189.65956342879207
7,1.0,1.0,1.0,8,438.0,0.0
8,1.0,1.0,1.0,9,328.50000000000006,189.65956342879207
9,1.0,1.0,1.0,10,219.0,379.31912685758414
10,1.0,1.0,1.0,11,0.0,379.31912685758414
11,1.0,1.0,1.0,12,-219.0,379.31912685758414
12,1.0,1.0,1.0,13,-328.50000000000006,189.65956342879207
13,1.0,1.0,1.0,14,-438.0,0.0
14,1.0,1.0,1.0,15,-328.50000000000006,-189.65956342879207
15,1.0,1.0,1.0,16,-219.0,-379.31912685758414
16,1.0,1.0,1.0,17,0.0,-379.31912685758414
17,1.0,1.0,1.0,18,219.0,-379.31912685758414
18,1.0,1.0,1.0,19,328.50000000000006,-189.65956342879207
19,1.0,1.0,0.9394550218664455,20,657.0000000000001,0.0
20,1.0,0.9643323797223426,0.5366482452127161,21,547.5,189.65956342879207
21,1.0,0.8040321085162035,0.08519426239430203,22,438.0,379.31912685758414
22,1.0,1.0,1.0,23,328.50000000000006,568.9786902863763
23,1.0,1.0,1.0,24,109.50000000000004,568.9786902863763
24,1.0,1.0,1.0,25,-109.49999999999996,568.9786902863763
25,1.0,1.0,1.0,26,-328.50000000000006,568.9786902863763
26,1.0,0.8043949626723526,0.08523270997849973,27,-438.00000000000006,379.31912685758414
27,1.0,0.9647604509201133,0.5368864656250348,28,-547.5000000000001,189.65956342879207
28,1.0,1.0,0.9397988826188696,29,-657.0000000000001,0.0
29,1.0,0.9622109155722314,0.49297784000179434,30,-547.5,-189.65956342879207
30,1.0,0.7745417482604446,0.0,31,-438.0,-379.31912685758414
31,1.0,1.0,1.0,32,-328.50000000000006,-568.9786902863763
32,1.0,1.0,1.0,33,-109.50000000000004,-568.9786902863763
33,1.0,1.0,1.0,34,109.49999999999996,-568.9786902863763
34,1.0,1.0,1.0,35,328.50000000000006,-568.9786902863763
35,1.0,0.7745899597697078,0.0,36,438.00000000000006,-379.31912685758414
36,1.0,0.9620850791350735,0.4929133691316559,37,547.5000000000001,-189.65956342879207
37,1.0,1.0,1.0,38,876.0,0.0
38,1.0,1.0,1.0,39,766.5,189.65956342879207
39,1.0,1.0,1.0,40,657.0000000000001,379.31912685758414
40,1.0,1.0,0.9030339864739445,41,547.5,568.9786902863763
41,1.0,1.0,1.0,42,438.0,758.6382537151683
42,1.0,1.0,1.0,43,219.0,758.6382537151683
43,1.0,1.0,1.0,44,0.0,758.6382537151683
44,1.0,1.0,1.0,45,-219.00000000000009,758.6382537151683
45,1.0,1.0,1.0,46,-438.0,758.6382537151683
46,1.0,1.0,0.9036325093549946,47,-547.5,568.9786902863763
47,1.0,1.0,1.0,48,-657.0000000000001,379.31912685758414
48,1.0,1.0,1.0,49,-766.5,189.65956342879207
49,1.0,1.0,1.0,50,-876.0,0.0
50,1.0,1.0,1.0,51,-766.5,-189.65956342879207
51,1.0,1.0,1.0,52,-657.0000000000001,-379.31912685758414
52,1.0,1.0,0.9441324781944378,53,-547.5,-568.9786902863763
53,1.0,1.0,1.0,54,-438.0,-758.6382537151683
54,1.0,1.0,1.0,55,-219.0,-758.6382537151683
55,1.0,1.0,1.0,56,0.0,-758.6382537151683
56,1.0,1.0,1.0,57,219.00000000000009,-758.6382537151683
57,1.0,1.0,1.0,58,438.0,-758.6382537151683
58,1.0,1.0,0.944413855330226,59,547.5,-568.9786902863763
59,1.0,1.0,1.0,60,657.0000000000001,-379.31912685758414
60,1.0,1.0,1.0,61,766.5,-189.65956342879207
61,1.0,0.8061302478920589,0.3300988852603312,62,985.5,189.65956342879207
62,1.0,1.0,0.8732599166371859,63,876.0,379.31912685758414
63,1.0,1.0,1.0,64,766.5,568.9786902863763
64,1.0,0.5567453627973751,0.1188473266038841,65,657.0000000000001,758.6382537151683
65,1.0,1.0,0.9088580302206586,66,328.5,948.2978171439604
66,1.0,1.0,1.0,67,109.49999999999996,948.2978171439604
67,1.0,1.0,1.0,68,-109.50000000000009,948.2978171439604
68,1.0,1.0,0.9085633026161611,69,-328.50000000000006,948.2978171439604
69,1.0,0.5563808933198756,0.11876952402855255,70,-657.0,758.6382537151683
70,1.0,1.0,1.0,71,-766.4999999999999,568.9786902863763
71,1.0,1.0,0.8740454947346027,72,-876.0,379.31912685758414
72,1.0,0.8067867517861321,0.33036771427917694,73,-985.5,189.65956342879207
73,1.0,0.7648527126740375,0.3010854842443412,74,-985.5,-189.65956342879207
74,1.0,1.0,0.7795956386169846,75,-876.0,-379.31912685758414
75,1.0,1.0,1.0,76,-766.5,-568.9786902863763
76,1.0,0.6488549142633331,0.14087102997930845,77,-657.0000000000001,-758.6382537151683
77,1.0,1.0,1.0,78,-328.5,-948.2978171439604
78,1.0,1.0,1.0,79,-109.49999999999996,-948.2978171439604
79,1.0,1.0,1.0,80,109.50000000000009,-948.2978171439604
80,1.0,1.0,1.0,81,328.50000000000006,-948.2978171439604
81,1.0,0.6478996622976887,0.14066363796403358,82,657.0,-758.6382537151683
82,1.0,1.0,1.0,83,766.4999999999999,-568.9786902863763
83,1.0,1.0,0.7796299921500807,84,876.0,-379.31912685758414
84,1.0,0.7646211129047704,0.3009943146275964,85,985.5,-189.65956342879207
