,area_above_0p7,area_above_0p8,area_above_0p9,configuration,x_mm,y_mm
0,1.0,1.0,1.0,1,0.0,0.0
1,1.0,1.0,1.0,2,219.0,0.0
2,1.0,1.0,1.0,3,109.5,189.65956342879207
3,1.0,1.0,1.0,4,-109.5,189.65956342879207
4,1.0,1.0,1.0,5,-219.0,0.0
5,1.0,1.0,1.0,6,-109.5,-189.65956342879207
6,1.0,1.0,1.0,7,109.5,-189.65956342879207
7,1.0,1.0,0.8716557689756578,8,438.0,0.0
8,1.0,1.0,1.0,9,328.50000000000006,189.65956342879207
9,1.0,1.0,1.0,10,219.0,379.31912685758414
10,1.0,1.0,1.0,11,0.0,379.31912685758414
11,1.0,1.0,1.0,12,-219.0,379.31912685758414
12,1.0,1.0,1.0,13,-328.50000000000006,189.65956342879207
13,1.0,1.0,0.8702834391072726,14,-438.0,0.0
14,1.0,1.0,1.0,15,-328.50000000000006,-189.65956342879207
15,1.0,1.0,1.0,16,-219.0,-379.31912685758414
16,1.0,1.0,1.0,17,0.0,-379.31912685758414
17,1.0,1.0,1.0,18,219.0,-379.31912685758414
18,1.0,1.0,1.0,19,328.50000000000006,-189.65956342879207
19,1.0,1.0,1.0,20,657.0000000000001,0.0
20,1.0,1.0,1.0,21,547.5,189.65956342879207
21,1.0,1.0,0.8170543467206561,22,438.0,379.31912685758414
22,1.0,1.0,1.0,23,328.50000000000006,568.9786902863763
23,1.0,1.0,1.0,24,109.50000000000004,568.9786902863763
24,1.0,1.0,1.0,25,-109.49999999999996,568.9786902863763
25,1.0,1.0,1.0,26,-328.50000000000006,568.9786902863763
26,1.0,1.0,0.8158518681220394,27,-438.00000000000006,379.31912685758414
27,1.0,1.0,1.0,28,-547.5000000000001,189.65956342879207
28,1.0,1.0,1.0,29,-657.0000000000001,0.0
29,1.0,1.0,0.9977198245754076,30,-547.5,-189.65956342879207
30,1.0,0.9436892790087367,0.11773299515679596,31,-438.0,-379.31912685758414
31,1.0,1.0,1.0,32,-328.50000000000006,-568.9786902863763
32,1.0,1.0,1.0,33,-109.50000000000004,-568.9786902863763
33,1.0,1.0,1.0,34,109.49999999999996,-568.9786902863763
34,1.0,1.0,1.0,35,328.50000000000006,-568.9786902863763
35,1.0,0.9456202889193416,0.11797390451701649,36,438.00000000000006,-379.31912685758414
36,1.0,1.0,0.999963341363027,37,547.5000000000001,-189.65956342879207
37,0.9827308632873155,0.6749616215929021,0.37760918500199186,38,876.0,0.0
38,1.0,1.0,0.950536790957312,39,766.5,189.65956342879207
39,1.0,1.0,1.0,40,657.0000000000001,379.31912685758414
40,1.0,1.0,1.0,41,547.5,568.9786902863763
41,0.752302847536547,0.4343927396883304,0.14088413179080989,42,438.0,758.6382537151683
42,1.0,1.0,0.7101326625048734,43,219.0,758.6382537151683
43,1.0,1.0,1.0,44,0.0,758.6382537151683
44,1.0,1.0,0.7097184955413477,45,-219.00000000000009,758.6382537151683
45,0.7514867184484872,0.4339214925680218,0.140731294886926,46,-438.0,758.6382537151683
46,1.0,1.0,1.0,47,-547.5,568.9786902863763
47,1.0,1.0,1.0,48,-657.0000000000001,379.31912685758414
48,1.0,1.0,0.9483239822837243,49,-766.5,189.65956342879207
49,0.9801241891078674,0.6731712992403106,0.3766075841067329,50,-876.0,0.0
50,1.0,1.0,1.0,51,-766.5,-189.65956342879207
51,1.0,1.0,1.0,52,-657.0000000000001,-379.31912685758414
52,1.0,1.0,1.0,53,-547.5,-568.9786902863763
53,0.9396689880653027,0.4860436682969616,0.1435669720553198,54,-438.0,-758.6382537151683
54,1.0,1.0,1.0,55,-219.0,-758.6382537151683
55,1.0,1.0,1.0,56,0.0,-758.6382537151683
56,1.0,1.0,1.0,57,219.00000000000009,-758.6382537151683
57,0.9419451007652073,0.4872209873105397,0.14391472707600506,58,438.0,-758.6382537151683
58,1.0,1.0,1.0,59,547.5,-568.9786902863763
59,1.0,1.0,1.0,60,657.0000000000001,-379.31912685758414
60,1.0,1.0,1.0,61,766.5,-189.65956342879207
61,0.2606328310335699,0.10654651021170682,0.006450125057659383,62,985.5,189.65956342879207
62,0.6623401062478584,0.42197851998759317,0.1951913952688035,63,876.0,379.31912685758414
63,1.0,0.7740550267219939,0.4320253598445383,64,766.5,568.9786902863763
64,0.041218329396492684,0.0,0.0,65,657.0000000000001,758.6382537151683
65,0.4886919934021657,0.24205811283684048,0.05330769403684672,66,328.5,948.2978171439604
66,0.9944631101144052,0.5945876077608861,0.2608278844896818,67,109.49999999999996,948.2978171439604
67,0.9941931120382882,0.5944261764231666,0.2607570693671361,68,-109.50000000000009,948.2978171439604
68,0.48831274778841377,0.24187026552441093,0.05326632501624551,69,-328.50000000000006,948.2978171439604
69,0.041159262007633764,0.0,0.0,70,-657.0,758.6382537151683
70,1.0,0.7725336877352346,0.4311762509304297,71,-766.4999999999999,568.9786902863763
71,0.6608597779652561,0.42103539917715777,0.19475514304700478,72,-876.0,379.31912685758414
72,0.25998997853897876,0.10628371258330385,0.006434215784191041,73,-985.5,189.65956342879207
73,0.30564648813269,0.13019620792983946,0.005808009275680571,74,-985.5,-189.65956342879207
74,0.8008495426941632,0.5336594162387448,0.26574845311123446,75,-876.0,-379.31912685758414
75,1.0,0.9991913211831732,0.5959752925774215,76,-766.5,-568.9786902863763
76,0.06804980318018317,0.00853586381354214,0.0,77,-657.0000000000001,-758.6382537151683
77,0.6046461795436897,0.2756440964933275,0.05825107702733041,78,-328.5,-948.2978171439604
78,1.0,0.8232797726236157,0.30573029672822055,79,-109.49999999999996,-948.2978171439604
79,1.0,0.8238576672993424,0.3059449016736628,80,109.50000000000009,-948.2978171439604
80,0.6058704224300192,0.2762022002831263,0.05836901950192863,81,328.50000000000006,-948.2978171439604
81,0.06827301054903016,0.008563861950400996,0.0,82,657.0,-758.6382537151683
82,1.0,1.0,0.5979154975494112,83,766.4999999999999,-568.9786902863763
83,0.8033729170055919,0.5353409086916949,0.2665857924416995,84,876.0,-379.31912685758414
84,0.30654644259938507,0.13057956145563673,0.005825110548206842,85,985.5,-189.65956342879207
