,x,y,hex_x,hex_y,ring,angle,config,group
0,0.0,0.0,0,0,0,0.0,1,0
1,219.0,0.0,1,0,1,0.0,2,0
2,109.5,189.65956342879207,0,1,1,60.00000000000001,3,0
3,-109.5,189.65956342879207,-1,1,1,119.99999999999999,4,0
4,-219.0,0.0,-1,0,1,180.0,5,0
5,-109.5,-189.65956342879207,0,-1,1,240.0,6,0
6,109.5,-189.65956342879207,1,-1,1,300.0,7,0
7,438.0,0.0,2,0,2,0.0,8,0
8,328.50000000000006,189.65956342879207,1,1,2,29.999999999999996,9,0
9,219.0,379.31912685758414,0,2,2,60.00000000000001,10,0
10,0.0,379.31912685758414,-1,2,2,90.0,11,0
11,-219.0,379.31912685758414,-2,2,2,119.99999999999999,12,0
12,-328.50000000000006,189.65956342879207,-2,1,2,150.0,13,0
13,-438.0,0.0,-2,0,2,180.0,14,0
14,-328.50000000000006,-189.65956342879207,-1,-1,2,210.0,15,0
15,-219.0,-379.31912685758414,0,-2,2,240.0,16,0
16,0.0,-379.31912685758414,1,-2,2,270.0,17,0
17,219.0,-379.31912685758414,2,-2,2,300.0,18,0
18,328.50000000000006,-189.65956342879207,2,-1,2,330.0,19,0
19,657.0000000000001,0.0,3,0,3,0.0,20,1
20,547.5,189.65956342879207,2,1,3,19.106605350869096,21,1
21,438.0,379.31912685758414,1,2,3,40.893394649130904,22,1
22,-438.00000000000006,379.31912685758414,-3,2,3,139.1066053508691,27,1
23,-547.5000000000001,189.65956342879207,-3,1,3,160.8933946491309,28,1
24,-657.0000000000001,0.0,-3,0,3,180.0,29,1
25,-547.5,-189.65956342879207,-2,-1,3,199.1066053508691,30,1
26,-438.0,-379.31912685758414,-1,-2,3,220.8933946491309,31,1
27,438.00000000000006,-379.31912685758414,3,-2,3,319.1066053508691,36,1
28,547.5000000000001,-189.65956342879207,3,-1,3,340.8933946491309,37,1
29,876.0,0.0,4,0,4,0.0,38,1
30,766.5,189.65956342879207,3,1,4,13.897886248013984,39,1
31,657.0000000000001,379.31912685758414,2,2,4,29.999999999999996,40,1
32,547.5,568.9786902863763,1,3,4,46.102113751986025,41,1
33,-547.5,568.9786902863763,-4,3,4,133.89788624801398,47,1
34,-657.0000000000001,379.31912685758414,-4,2,4,150.0,48,1
35,-766.5,189.65956342879207,-4,1,4,166.10211375198602,49,1
36,-876.0,0.0,-4,0,4,180.0,50,1
37,-766.5,-189.65956342879207,-3,-1,4,193.89788624801398,51,1
38,-657.0000000000001,-379.31912685758414,-2,-2,4,210.0,52,1
39,-547.5,-568.9786902863763,-1,-3,4,226.10211375198602,53,1
40,547.5,-568.9786902863763,4,-3,4,313.89788624801395,59,1
41,657.0000000000001,-379.31912685758414,4,-2,4,330.0,60,1
42,766.5,-189.65956342879207,4,-1,4,346.102113751986,61,1
43,985.5,189.65956342879207,4,1,5,10.893394649130906,62,1
44,876.0,379.31912685758414,3,2,5,23.41322444637054,63,1
45,766.5,568.9786902863763,2,3,5,36.58677555362947,64,1
46,-766.4999999999999,568.9786902863763,-5,3,5,143.41322444637052,71,1
47,-876.0,379.31912685758414,-5,2,5,156.58677555362945,72,1
48,-985.5,189.65956342879207,-5,1,5,169.1066053508691,73,1
49,-985.5,-189.65956342879207,-4,-1,5,190.8933946491309,74,1
50,-876.0,-379.31912685758414,-3,-2,5,203.41322444637055,75,1
51,-766.5,-568.9786902863763,-2,-3,5,216.58677555362948,76,1
52,766.4999999999999,-568.9786902863763,5,-3,5,323.4132244463705,83,1
53,876.0,-379.31912685758414,5,-2,5,336.5867755536295,84,1
54,985.5,-189.65956342879207,5,-1,5,349.1066053508691,85,1
55,-328.50000000000006,-568.9786902863763,0,-3,3,240.0,32,2
56,-109.50000000000003,-568.9786902863763,1,-3,3,259.1066053508691,33,2
57,109.49999999999997,-568.9786902863763,2,-3,3,280.89339464913087,34,2
58,328.50000000000006,-568.9786902863763,3,-3,3,300.0,35,2
59,-438.0,-758.6382537151683,0,-4,4,240.0,54,2
60,-219.0,-758.6382537151683,1,-4,4,253.89788624801398,55,2
61,0.0,-758.6382537151683,2,-4,4,270.0,56,2
62,219.00000000000006,-758.6382537151683,3,-4,4,286.102113751986,57,2
63,438.0,-758.6382537151683,4,-4,4,300.0,58,2
64,-657.0000000000001,-758.6382537151683,-1,-4,5,229.10660535086907,77,2
65,-328.5,-948.2978171439604,1,-5,5,250.89339464913093,78,2
66,-109.49999999999997,-948.2978171439604,2,-5,5,263.4132244463705,79,2
67,109.50000000000009,-948.2978171439604,3,-5,5,276.5867755536295,80,2
68,328.50000000000006,-948.2978171439604,4,-5,5,289.1066053508691,81,2
69,657.0,-758.6382537151683,5,-4,5,310.8933946491309,82,2
70,328.50000000000006,568.9786902863763,0,3,3,59.99999999999999,23,3
71,109.50000000000003,568.9786902863763,-1,3,3,79.1066053508691,24,3
72,-109.49999999999997,568.9786902863763,-2,3,3,100.8933946491309,25,3
73,-328.50000000000006,568.9786902863763,-3,3,3,120.00000000000001,26,3
74,438.0,758.6382537151683,0,4,4,60.00000000000001,42,3
75,219.0,758.6382537151683,-1,4,4,73.89788624801399,43,3
76,0.0,758.6382537151683,-2,4,4,90.0,44,3
77,-219.00000000000006,758.6382537151683,-3,4,4,106.10211375198602,45,3
78,-438.0,758.6382537151683,-4,4,4,119.99999999999999,46,3
79,657.0000000000001,758.6382537151683,1,4,5,49.106605350869096,65,3
80,328.5,948.2978171439604,-1,5,5,70.89339464913091,66,3
81,109.49999999999997,948.2978171439604,-2,5,5,83.41322444637055,67,3
82,-109.50000000000009,948.2978171439604,-3,5,5,96.58677555362947,68,3
83,-328.50000000000006,948.2978171439604,-4,5,5,109.1066053508691,69,3
84,-657.0,758.6382537151683,-5,4,5,130.89339464913093,70,3
