,area_above_0p7,area_above_0p8,area_above_0p9,configuration,x_mm,y_mm
0,1.0,1.0,1.0,1,0.0,0.0
1,1.0,1.0,1.0,2,219.0,0.0
2,1.0,1.0,1.0,3,109.5,189.65956342879207
3,1.0,1.0,1.0,4,-109.5,189.65956342879207
4,1.0,1.0,1.0,5,-219.0,0.0
5,1.0,1.0,1.0,6,-109.5,-189.65956342879207
6,1.0,1.0,1.0,7,109.5,-189.65956342879207
7,1.0,1.0,1.0,8,438.0,0.0
8,1.0,1.0,1.0,9,328.50000000000006,189.65956342879207
9,1.0,1.0,1.0,10,219.0,379.31912685758414
10,1.0,1.0,1.0,11,0.0,379.31912685758414
11,1.0,1.0,1.0,12,-219.0,379.31912685758414
12,1.0,1.0,1.0,13,-328.50000000000006,189.65956342879207
13,1.0,1.0,1.0,14,-438.0,0.0
14,1.0,1.0,1.0,15,-328.50000000000006,-189.65956342879207
15,1.0,1.0,1.0,16,-219.0,-379.31912685758414
16,1.0,1.0,1.0,17,0.0,-379.31912685758414
17,1.0,1.0,1.0,18,219.0,-379.31912685758414
18,1.0,1.0,1.0,19,328.50000000000006,-189.65956342879207
19,1.0,1.0,1.0,20,657.0000000000001,0.0
20,1.0,1.0,1.0,21,547.5,189.65956342879207
21,1.0,1.0,0.8971747069342508,22,438.0,379.31912685758414
22,1.0,1.0,1.0,23,328.50000000000006,568.9786902863763
23,1.0,1.0,1.0,24,109.50000000000004,568.9786902863763
24,1.0,1.0,1.0,25,-109.49999999999996,568.9786902863763
25,1.0,1.0,1.0,26,-328.50000000000006,568.9786902863763
26,1.0,1.0,0.8981131334778897,27,-438.00000000000006,379.31912685758414
27,1.0,1.0,1.0,28,-547.5000000000001,189.65956342879207
28,1.0,1.0,1.0,29,-657.0000000000001,0.0
29,1.0,1.0,1.0,30,-547.5,-189.65956342879207
30,1.0,1.0,0.8796401733673391,31,-438.0,-379.31912685758414
31,1.0,1.0,1.0,32,-328.50000000000006,-568.9786902863763
32,1.0,1.0,1.0,33,-109.50000000000004,-568.9786902863763
33,1.0,1.0,1.0,34,109.49999999999996,-568.9786902863763
34,1.0,1.0,1.0,35,328.50000000000006,-568.9786902863763
35,1.0,1.0,0.8791512181090508,36,438.00000000000006,-379.31912685758414
36,1.0,1.0,1.0,37,547.5000000000001,-189.65956342879207
37,1.0,0.9564119023492762,0.4093277784583539,38,876.0,0.0
38,1.0,1.0,1.0,39,766.5,189.65956342879207
39,1.0,1.0,1.0,40,657.0000000000001,379.31912685758414
40,1.0,1.0,1.0,41,547.5,568.9786902863763
41,1.0,1.0,0.625925368178322,42,438.0,758.6382537151683
42,1.0,1.0,1.0,43,219.0,758.6382537151683
43,1.0,1.0,1.0,44,0.0,758.6382537151683
44,1.0,1.0,1.0,45,-219.00000000000009,758.6382537151683
45,1.0,1.0,0.6259560408968903,46,-438.0,758.6382537151683
46,1.0,1.0,1.0,47,-547.5,568.9786902863763
47,1.0,1.0,1.0,48,-657.0000000000001,379.31912685758414
48,1.0,1.0,1.0,49,-766.5,189.65956342879207
49,1.0,0.9579149913036119,0.40997107457479937,50,-876.0,0.0
50,1.0,1.0,1.0,51,-766.5,-189.65956342879207
51,1.0,1.0,1.0,52,-657.0000000000001,-379.31912685758414
52,1.0,1.0,1.0,53,-547.5,-568.9786902863763
53,1.0,1.0,0.6747382272804078,54,-438.0,-758.6382537151683
54,1.0,1.0,1.0,55,-219.0,-758.6382537151683
55,1.0,1.0,1.0,56,0.0,-758.6382537151683
56,1.0,1.0,1.0,57,219.00000000000009,-758.6382537151683
57,1.0,1.0,0.6742009058209077,58,438.0,-758.6382537151683
58,1.0,1.0,1.0,59,547.5,-568.9786902863763
59,1.0,1.0,1.0,60,657.0000000000001,-379.31912685758414
60,1.0,1.0,1.0,61,766.5,-189.65956342879207
61,0.6535375039239635,0.279384918464745,0.016456660735567244,62,985.5,189.65956342879207
62,1.0,0.7737022399758673,0.28808855081953055,63,876.0,379.31912685758414
63,1.0,1.0,0.6668940274460207,64,766.5,568.9786902863763
64,0.742902820602748,0.29805867003291725,0.005796624072158366,65,657.0000000000001,758.6382537151683
65,1.0,1.0,0.49266363606892327,66,328.5,948.2978171439604
66,1.0,1.0,1.0,67,109.49999999999996,948.2978171439604
67,1.0,1.0,1.0,68,-109.50000000000009,948.2978171439604
68,1.0,1.0,0.4927025663061145,69,-328.50000000000006,948.2978171439604
69,0.7429864388685762,0.2980922183630784,0.005797276517726117,70,-657.0,758.6382537151683
70,1.0,1.0,0.6681368384282624,71,-766.4999999999999,568.9786902863763
71,1.0,0.7752106488395856,0.28865020787716744,72,-876.0,379.31912685758414
72,0.654813405254306,0.2799303616673256,0.016488789075868197,73,-985.5,189.65956342879207
73,0.6213450068171069,0.2550039698544346,0.0080346337088419,74,-985.5,-189.65956342879207
74,1.0,0.7123906072854943,0.23107126041216589,75,-876.0,-379.31912685758414
75,1.0,1.0,0.5574854273047815,76,-766.5,-568.9786902863763
76,0.7610574207840946,0.2631414819287821,0.013810262172148846,77,-657.0000000000001,-758.6382537151683
77,1.0,1.0,0.37112821346776,78,-328.5,-948.2978171439604
78,1.0,1.0,1.0,79,-109.49999999999996,-948.2978171439604
79,1.0,1.0,1.0,80,109.50000000000009,-948.2978171439604
80,1.0,1.0,0.3709758001408442,81,328.50000000000006,-948.2978171439604
81,0.7602090708541523,0.26284815838753184,0.013794867887005216,82,657.0,-758.6382537151683
82,1.0,1.0,0.5571493436732603,83,766.4999999999999,-568.9786902863763
83,1.0,0.711664168500603,0.23083563248007294,84,876.0,-379.31912685758414
84,0.6204487483227403,0.2546361396287601,0.00802304415934578,85,985.5,-189.65956342879207
