Data,Position, Value
0,-20.224,0.000021
1,-20.066,0.000032
2,-19.908,0.000037
3,-19.75,0.000036
4,-19.592,0.000027
5,-19.434,0.000015
6,-19.276,0.000005
7,-19.118,0
8,-18.96,0.000004
9,-18.802,0.000015
10,-18.644,0.00003
11,-18.486,0.000043
12,-18.328,0.000049
13,-18.17,0.000046
14,-18.012,0.000034
15,-17.854,0.000018
16,-17.696,0.000005
17,-17.538,0
18,-17.38,0.000006
19,-17.222,0.000022
20,-17.064,0.000041
21,-16.906,0.000058
22,-16.748,0.000065
23,-16.59,0.000059
24,-16.432,0.000043
25,-16.274,0.000022
26,-16.116,0.000005
27,-15.958,0
28,-15.8,0.000009
29,-15.642,0.00003
30,-15.484,0.000055
31,-15.326,0.000075
32,-15.168,0.000081
33,-15.01,0.000072
34,-14.852,0.00005
35,-14.694,0.000023
36,-14.536,0.000004
37,-14.378,0.000001
38,-14.22,0.000017
39,-14.062,0.000047
40,-13.904,0.000081
41,-13.746,0.000106
42,-13.588,0.000111
43,-13.43,0.000094
44,-13.272,0.000061
45,-13.114,0.000025
46,-12.956,0.000003
47,-12.798,0.000004
48,-12.64,0.000033
49,-12.482,0.000081
50,-12.324,0.000131
51,-12.166,0.000164
52,-12.008,0.000166
53,-11.85,0.000136
54,-11.692,0.000085
55,-11.534,0.000032
56,-11.376,0.000002
57,-11.218,0.000011
58,-11.06,0.000061
59,-10.902,0.000138
60,-10.744,0.000215
61,-10.586,0.000264
62,-10.428,0.000264
63,-10.27,0.000213
64,-10.112,0.000129
65,-9.954,0.000047
66,-9.796,0.000002
67,-9.638,0.00002
68,-9.48,0.000104
69,-9.322,0.00023
70,-9.164,0.000354
71,-9.006,0.000429
72,-8.848,0.000425
73,-8.69,0.000338
74,-8.532,0.0002
75,-8.374,0.000067
76,-8.216,0.000001
77,-8.058,0.000044
78,-7.9,0.000197
79,-7.742,0.000418
80,-7.584,0.000633
81,-7.426,0.00076
82,-7.268,0.000743
83,-7.11,0.000581
84,-6.952,0.000332
85,-6.794,0.000101
86,-6.636,0
87,-6.478,0.000107
88,-6.32,0.000426
89,-6.162,0.000874
90,-6.004,0.001303
91,-5.846,0.00155
92,-5.688,0.001504
93,-5.53,0.00116
94,-5.372,0.000641
95,-5.214,0.000171
96,-5.056,0.000003
97,-4.898,0.000317
98,-4.74,0.001134
99,-4.582,0.002272
100,-4.424,0.00338
101,-4.266,0.004049
102,-4.108,0.003968
103,-3.95,0.003086
104,-3.792,0.001697
105,-3.634,0.00042
106,-3.476,0.00003
107,-3.318,0.001192
108,-3.16,0.004153
109,-3.002,0.008515
110,-2.844,0.0132
111,-2.686,0.016664
112,-2.528,0.017389
113,-2.37,0.014552
114,-2.212,0.008733
115,-2.054,0.002426
116,-1.896,0.000174
117,-1.738,0.008179
118,-1.58,0.033355
119,-1.422,0.081958
120,-1.264,0.158023
121,-1.106,0.261968
122,-0.948,0.389686
123,-0.79,0.532428
124,-0.632,0.677589
125,-0.474,0.810332
126,-0.316,0.915794
127,-0.158,0.981473
128,0,0.999319
129,0.158,0.967116
130,0.316,0.888863
131,0.474,0.774087
132,0.632,0.636209
133,0.79,0.490327
134,0.948,0.350831
135,1.106,0.229331
136,1.264,0.133263
137,1.422,0.065364
138,1.58,0.024047
139,1.738,0.004477
140,1.896,0.000061
141,2.054,0.003975
142,2.212,0.010439
143,2.37,0.015501
144,2.528,0.017262
145,2.686,0.015618
146,2.844,0.011664
147,3.002,0.006982
148,3.16,0.003007
149,3.318,0.000622
150,3.476,0.000013
151,3.634,0.000775
152,3.792,0.002179
153,3.95,0.003473
154,4.108,0.004126
155,4.266,0.003952
156,4.424,0.003099
157,4.582,0.001927
158,4.74,0.000847
159,4.898,0.000167
160,5.056,0.000009
161,5.214,0.000296
162,5.372,0.000814
163,5.53,0.001305
164,5.688,0.00157
165,5.846,0.001521
166,6.004,0.001201
167,6.162,0.000744
168,6.32,0.000317
169,6.478,0.000053
170,6.636,0.000011
171,6.794,0.000162
172,6.952,0.000413
173,7.11,0.000648
174,7.268,0.000772
175,7.426,0.000744
176,7.584,0.000582
177,7.742,0.000354
178,7.9,0.000144
179,8.058,0.000019
180,8.216,0.00001
181,8.374,0.000102
182,8.532,0.000244
183,8.69,0.000373
184,8.848,0.000439
185,9.006,0.000419
186,9.164,0.000324
187,9.322,0.000193
188,9.48,0.000075
189,9.638,0.000008
190,9.796,0.000009
191,9.954,0.000069
192,10.112,0.000156
193,10.27,0.000234
194,10.428,0.000272
195,10.586,0.000257
196,10.744,0.000196
197,10.902,0.000115
198,11.06,0.000043
199,11.218,0.000004
200,11.376,0.000007
201,11.534,0.000046
202,11.692,0.000101
203,11.85,0.000149
204,12.008,0.00017
205,12.166,0.000158
206,12.324,0.000118
207,12.482,0.000067
208,12.64,0.000023
209,12.798,0.000001
210,12.956,0.000007
211,13.114,0.000035
212,13.272,0.000072
213,13.43,0.000102
214,13.588,0.000113
215,13.746,0.000101
216,13.904,0.000073
217,14.062,0.000038
218,14.22,0.000011
219,14.378,0
220,14.536,0.000008
221,14.694,0.000031
222,14.852,0.000057
223,15.01,0.000077
224,15.168,0.000082
225,15.326,0.000071
226,15.484,0.000048
227,15.642,0.000023
228,15.8,0.000005
229,15.958,0
230,16.116,0.000009
231,16.274,0.000028
232,16.432,0.000048
233,16.59,0.000062
234,16.748,0.000064
235,16.906,0.000054
236,17.064,0.000036
237,17.222,0.000017
238,17.38,0.000003
239,17.538,0
240,17.696,0.000008
241,17.854,0.000023
242,18.012,0.000038
243,18.17,0.000048
244,18.328,0.000048
245,18.486,0.00004
246,18.644,0.000026
247,18.802,0.000011
248,18.96,0.000002
249,19.118,0.000001
250,19.276,0.000007
251,19.434,0.000019
252,19.592,0.000031
253,19.75,0.000037
254,19.908,0.000037
255,20.066,0.000029
256,20.224,0.000022
