Date:  23:24; lundi; février 21; 2022
Nom du modèle: FEA_Mirror3Ra_WithCone
Nom de l'étude: M3Ra_El00Pa00ct_Bonded(-Défaut-)
Type de tracé: Déplacement statique DispZ
Type de résultat: UZ 

        
Valeur	Unité
Somme	1 008.785828	mm
Moyenne	0.060222	mm
Max	0.349747	mm
Min	-0.150740	mm
Moyenne quadratique	0.134747	mm

Noeud	Valeur	X_mm	Y_mm	Z_mm	Composants
103546	-0.150740	736.22790527	-2 750.00000000	380.49127197	Mirror3Ra_Left-1
103547	0.007329	2 500.00000000	-668.90228271	355.86618042	Mirror3Ra_Left-1
103548	0.123739	2 500.00000000	668.90228271	351.45333862	Mirror3Ra_Left-1
103549	0.349675	736.22790527	2 750.00000000	374.66082764	Mirror3Ra_Left-1
126410	0.030458	2 500.00000000	-334.45141602	338.95837402	Mirror3Ra_Left-1
126411	0.048905	2 500.00000000	-93.52423096	333.44577026	Mirror3Ra_Left-1
126412	0.063044	2 500.00000000	71.36968231	332.82196045	Mirror3Ra_Left-1
126413	0.092035	2 500.00000000	370.13592529	338.08969116	Mirror3Ra_Left-1
126414	0.018709	2 500.00000000	-501.67684937	346.05032349	Mirror3Ra_Left-1
126415	0.107693	2 500.00000000	519.51910400	343.76968384	Mirror3Ra_Left-1
126416	0.077096	2 500.00000000	220.75279236	334.43331909	Mirror3Ra_Left-1
126417	0.039413	2 500.00000000	-213.98782349	335.51364136	Mirror3Ra_Left-1
126418	0.013028	2 500.00000000	-585.28955078	350.61499023	Mirror3Ra_Left-1
126419	0.055782	2 500.00000000	-11.07727432	332.81683350	Mirror3Ra_Left-1
126420	0.024509	2 500.00000000	-418.06414795	342.16656494	Mirror3Ra_Left-1
126421	0.115733	2 500.00000000	594.21069336	347.36221313	Mirror3Ra_Left-1
126422	0.099761	2 500.00000000	444.82748413	340.67800903	Mirror3Ra_Left-1
126423	0.084482	2 500.00000000	295.44436646	336.00726318	Mirror3Ra_Left-1
126424	0.069973	2 500.00000000	146.06124878	333.37063599	Mirror3Ra_Left-1
126428	0.177434	2 327.55517578	1 218.67016602	353.75283813	Mirror3Ra_Left-1
126429	0.189301	2 274.44677734	1 337.84033203	354.59963989	Mirror3Ra_Left-1
126430	0.165446	2 375.88793945	1 096.25793457	353.01397705	Mirror3Ra_Left-1
126431	0.138636	2 463.40869141	820.86816406	351.82977295	Mirror3Ra_Left-1
126432	0.152242	2 422.47875977	960.78381348	352.34939575	Mirror3Ra_Left-1
126433	0.234309	2 032.62805176	1 757.30285645	358.60470581	Mirror3Ra_Left-1
126434	0.245826	1 957.30993652	1 860.83654785	359.84216309	Mirror3Ra_Left-1
126435	0.223989	2 095.00170898	1 663.48730469	357.56838989	Mirror3Ra_Left-1
126436	0.212555	2 158.84106445	1 558.42224121	356.50524902	Mirror3Ra_Left-1
126437	0.200915	2 219.00781250	1 449.25598145	355.50726318	Mirror3Ra_Left-1
126438	0.268246	1 787.86413574	2 062.46411133	362.53985596	Mirror3Ra_Left-1
126439	0.311880	1 348.45898438	2 443.68359375	368.69656372	Mirror3Ra_Left-1
126440	0.295515	1 532.30920410	2 304.64843750	366.28979492	Mirror3Ra_Left-1
126441	0.303815	1 441.68774414	2 376.41479492	367.50878906	Mirror3Ra_Left-1
126442	0.286357	1 625.04687500	2 224.05493164	364.97976685	Mirror3Ra_Left-1
126443	0.275130	1 728.94714355	2 124.15502930	363.44268799	Mirror3Ra_Left-1
126444	0.345133	845.81072998	2 710.42480469	373.83828735	Mirror3Ra_Left-1
126445	0.333444	1 058.31225586	2 615.72875977	371.93374634	Mirror3Ra_Left-1
126446	0.339736	951.30584717	2 666.47436523	372.94323730	Mirror3Ra_Left-1
126447	0.327121	1 152.67797852	2 565.53442383	370.95895386	Mirror3Ra_Left-1
126448	0.257255	1 875.07177734	1 963.56201172	361.16854858	Mirror3Ra_Left-1
126449	0.319982	1 248.89062500	2 508.77465820	369.88674927	Mirror3Ra_Left-1
126450	0.131266	2 482.70068359	744.90148926	351.61730957	Mirror3Ra_Left-1
126451	0.145423	2 443.81201172	890.89776611	352.06893921	Mirror3Ra_Left-1
126452	0.158968	2 399.64648438	1 029.73327637	352.66757202	Mirror3Ra_Left-1
126453	0.280466	1 680.91857910	2 171.67602539	364.16195679	Mirror3Ra_Left-1
126454	0.183313	2 301.77197266	1 278.25732422	354.16040039	Mirror3Ra_Left-1
126455	0.171407	2 352.50634766	1 157.40881348	353.36663818	Mirror3Ra_Left-1
126460	0.344941	431.33929443	2 750.00000000	356.98236084	Mirror3Ra_Left-1
126461	0.347268	583.79412842	2 750.00000000	364.66720581	Mirror3Ra_Left-1
126462	0.342352	215.69071960	2 750.00000000	350.05548096	Mirror3Ra_Left-1
126463	0.341557	107.85062408	2 750.00000000	348.32376099	Mirror3Ra_Left-1
126464	0.341321	53.92662811	2 750.00000000	347.89083862	Mirror3Ra_Left-1
126465	0.343523	323.52026367	2 750.00000000	352.94168091	Mirror3Ra_Left-1
126466	0.348487	660.01367188	2 750.00000000	369.37539673	Mirror3Ra_Left-1
126467	0.346056	507.56930542	2 750.00000000	360.53619385	Mirror3Ra_Left-1
126471	-0.149894	465.10623169	-2 750.00000000	360.80932617	Mirror3Ra_Left-1
126472	-0.150235	600.69335938	-2 750.00000000	369.53964233	Mirror3Ra_Left-1
126473	-0.149565	277.29733276	-2 750.00000000	352.38891602	Mirror3Ra_Left-1
126474	-0.149522	138.65789795	-2 750.00000000	348.90710449	Mirror3Ra_Left-1
126475	-0.149548	69.33126068	-2 750.00000000	348.03668213	Mirror3Ra_Left-1
126476	-0.149686	371.26843262	-2 750.00000000	356.06924438	Mirror3Ra_Left-1
126477	-0.149569	34.66621017	-2 750.00000000	347.81906128	Mirror3Ra_Left-1
126478	-0.149527	207.97993469	-2 750.00000000	350.35784912	Mirror3Ra_Left-1
126479	-0.150464	668.46722412	-2 750.00000000	374.73776245	Mirror3Ra_Left-1
126480	-0.150049	532.90637207	-2 750.00000000	364.89678955	Mirror3Ra_Left-1
126481	-0.137682	1 267.86120605	-2 496.88549805	377.16894531	Mirror3Ra_Left-1
126482	-0.142514	1 125.82653809	-2 580.35449219	378.27551270	Mirror3Ra_Left-1
126483	-0.148727	858.26690674	-2 705.53979492	379.91592407	Mirror3Ra_Left-1
126484	-0.145991	994.37786865	-2 646.81396484	379.14984131	Mirror3Ra_Left-1
126485	-0.126738	1 485.51257324	-2 342.52856445	375.10754395	Mirror3Ra_Left-1
126486	-0.120140	1 582.23425293	-2 262.20678711	374.03256226	Mirror3Ra_Left-1
126487	-0.112929	1 674.17553711	-2 178.15893555	372.90936279	Mirror3Ra_Left-1
126488	-0.132782	1 380.13867188	-2 421.53662109	376.16445923	Mirror3Ra_Left-1
126489	-0.097199	1 844.79858398	-1 998.98693848	370.53375244	Mirror3Ra_Left-1
126490	-0.064137	2 131.16162109	-1 605.20983887	365.51257324	Mirror3Ra_Left-1
126491	-0.055897	2 191.63867188	-1 500.27294922	364.24612427	Mirror3Ra_Left-1
126492	-0.081703	1 988.34606934	-1 819.35888672	368.20025635	Mirror3Ra_Left-1
126493	-0.073048	2 061.44824219	-1 714.94421387	366.87570190	Mirror3Ra_Left-1
126494	-0.089459	1 918.78869629	-1 910.19177246	369.37258911	Mirror3Ra_Left-1
126495	-0.011804	2 434.02587891	-923.68896484	358.06927490	Mirror3Ra_Left-1
126496	-0.001957	2 470.55639648	-793.63873291	356.89929199	Mirror3Ra_Left-1
126497	-0.029694	2 352.17504883	-1 158.24829102	360.40274048	Mirror3Ra_Left-1
126498	-0.021057	2 394.20190430	-1 045.41149902	359.24569702	Mirror3Ra_Left-1
126499	-0.047281	2 250.37792969	-1 387.65039063	362.92880249	Mirror3Ra_Left-1
126500	-0.038568	2 303.92602539	-1 273.41113281	361.64279175	Mirror3Ra_Left-1
126501	-0.105516	1 759.19812012	-2 092.96508789	371.77517700	Mirror3Ra_Left-1
126502	-0.140264	1 197.22192383	-2 539.97875977	377.74121094	Mirror3Ra_Left-1
126503	-0.147442	926.67108154	-2 677.26586914	379.54788208	Mirror3Ra_Left-1
126504	-0.144320	1 061.33093262	-2 614.20385742	378.72174072	Mirror3Ra_Left-1
126505	-0.135341	1 324.55529785	-2 459.92553711	376.67678833	Mirror3Ra_Left-1
126506	-0.006836	2 453.22729492	-858.03497314	357.46716309	Mirror3Ra_Left-1
126507	0.002782	2 486.11401367	-730.57250977	356.36563110	Mirror3Ra_Left-1
143050	0.000246	1 250.00000000	-695.75347900	100.95568848	Mirror3Ra_Left-1
143051	-0.002838	1 875.00000000	-695.75207520	207.60995483	Mirror3Ra_Left-1
