Analysis of Tolerances

Units are Millimeters.
All changes are computed using linear differences.

Paraxial Focus compensation only.

WARNING: Solves should be removed prior to tolerancing. Semi-diameters should be fixed.

WARNING: Boundary constraints on compensators will be ignored.

Criterion           : User defined merit function
Mode                : Sensitivities
Nominal Criterion   : 0.05442161
Test Wavelength     : 1000.0000

Fields: User Defined Angle in degrees
 #   	X-Field     	Y-Field     	Weight  	  VDX 	  VDY 	  VCX 	  VCY
 1 	   0.000E+00 	   0.000E+00 	   1.000E+02 	 0.000 	 0.000 	 0.000 	 0.000
 2 	   0.000E+00 	   4.700E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
 3 	   2.350E+00 	   4.070E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
 4 	   4.070E+00 	   2.350E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
 5 	   4.700E+00 	   0.000E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
 6 	   4.070E+00 	  -2.350E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
 7 	   2.350E+00 	  -4.070E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
 8 	   0.000E+00 	  -4.700E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
 9 	  -4.700E+00 	   0.000E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
10 	  -2.350E+00 	  -4.070E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
11 	  -4.070E+00 	  -2.350E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
12 	  -4.070E+00 	   2.350E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
13 	  -2.350E+00 	   4.070E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000

Sensitivity Analysis:

            			   |-----------	---- Minimum ----	----------|	  |------------	---- Maximum ----	----------|
Type           			      Value   	    Criterion      	 Change       	  Value   	    Criterion    	  Change
TTHI 	 12 	 12 	   -6.00000000 	    0.06052399 	    0.00610238 	    6.00000000 	    0.06217382 	    0.00775221
TTHI 	 19 	 19 	   -6.00000000 	    0.05563770 	    0.00121609 	    6.00000000 	    0.05330590 	   -0.00111571
TEDX 	  9 	  9 	   -2.00000000 	    0.06217472 	    0.00775311 	    2.00000000 	    0.06217472 	    0.00775311
TEDY 	  9 	  9 	   -2.00000000 	    0.07156348 	    0.01714186 	    2.00000000 	    0.04306410 	   -0.01135751
TEDX 	 16 	 16 	   -2.00000000 	    0.06048799 	    0.00606637 	    2.00000000 	    0.06048799 	    0.00606637
TEDY 	 16 	 16 	   -2.00000000 	    0.04663787 	   -0.00778375 	    2.00000000 	    0.06896465 	    0.01454303
TETX 	 16 	 16 	   -0.03000000 	    0.04372737 	   -0.01069425 	    0.03000000 	    0.06875876 	    0.01433714
TETY 	 16 	 16 	   -0.03000000 	    0.06060927 	    0.00618765 	    0.03000000 	    0.06060927 	    0.00618765
TEDX 	 23 	 23 	   -2.00000000 	    0.05553987 	    0.00111825 	    2.00000000 	    0.05553987 	    0.00111825
TEDY 	 23 	 23 	   -2.00000000 	    0.05460416 	    0.00018254 	    2.00000000 	    0.05450947 	    8.7858E-05
TETX 	 23 	 23 	   -0.03000000 	    0.04278546 	   -0.01163616 	    0.03000000 	    0.06904352 	    0.01462191
TETY 	 23 	 23 	    0.03000000 	    0.06004526 	    0.00562364 	    0.03000000 	    0.06004526 	    0.00562364

Worst offenders:
Type           			       Value   	    Criterion      	  Change
TEDY 	  9 	  9 	   -2.00000000 	    0.07156348 	    0.01714186
TETX 	 23 	 23 	    0.03000000 	    0.06904352 	    0.01462191
TEDY 	 16 	 16 	    2.00000000 	    0.06896465 	    0.01454303
TETX 	 16 	 16 	    0.03000000 	    0.06875876 	    0.01433714
TEDX 	  9 	  9 	    2.00000000 	    0.06217472 	    0.00775311
TEDX 	  9 	  9 	   -2.00000000 	    0.06217472 	    0.00775311
TTHI 	 12 	 12 	    6.00000000 	    0.06217382 	    0.00775221
TETY 	 16 	 16 	    0.03000000 	    0.06060927 	    0.00618765
TETY 	 16 	 16 	   -0.03000000 	    0.06060927 	    0.00618765
TTHI 	 12 	 12 	   -6.00000000 	    0.06052399 	    0.00610238


Estimated Performance Changes based upon Root-Sum-Square method:
Nominal Merit Function      :	    0.05442161
Estimated change            :	    0.03000245
Estimated Merit Function    :	    0.08442406

Compensator Statistics:
Change in back focus:
Minimum            :	       -5.209957
Maximum            :	        5.219842
Mean               :	        0.000413
Standard Deviation :	        1.505597


Monte Carlo Analysis:
Number of trials: 10000

Initial Statistics: Normal Distribution

    Trial 	    Criterion 	      Change
      1 	    0.06568842 	    0.01126680
      2 	    0.07866564 	    0.02424403
      3 	    0.05229132 	   -0.00213029
      4 	    0.07996049 	    0.02553887
      5 	    0.09044606 	    0.03602445
      6 	    0.07508358 	    0.02066197
      7 	    0.06719759 	    0.01277598
      8 	    0.05770960 	    0.00328799
      9 	    0.06122911 	    0.00680750
     10 	    0.07421451 	    0.01979289
     11 	    0.08421336 	    0.02979174
     12 	    0.06866822 	    0.01424661
     13 	    0.06862362 	    0.01420200
     14 	    0.05668648 	    0.00226487
     15 	    0.06621466 	    0.01179305
     16 	    0.06550774 	    0.01108612
     17 	    0.05756880 	    0.00314719
     18 	    0.06443406 	    0.01001244
     19 	    0.06991431 	    0.01549270
     20 	    0.04856047 	   -0.00586115
     21 	    0.05276288 	   -0.00165873
     22 	    0.07093352 	    0.01651191
     23 	    0.08453991 	    0.03011830
     24 	    0.05683588 	    0.00241427
     25 	    0.07134289 	    0.01692128
     26 	    0.07595724 	    0.02153563
     27 	    0.06478486 	    0.01036324
     28 	    0.09536099 	    0.04093938
     29 	    0.06308906 	    0.00866745
     30 	    0.05198311 	   -0.00243851
     31 	    0.06439321 	    0.00997159
     32 	    0.07471082 	    0.02028921
     33 	    0.06880434 	    0.01438273
     34 	    0.06912731 	    0.01470570
     35 	    0.06051958 	    0.00609797
     36 	    0.06003967 	    0.00561805
     37 	    0.06798961 	    0.01356799
     38 	    0.05446567 	    4.4054E-05
     39 	    0.06567903 	    0.01125742
     40 	    0.07845121 	    0.02402959
     41 	    0.07181431 	    0.01739270
     42 	    0.06304246 	    0.00862085
     43 	    0.07148301 	    0.01706140
     44 	    0.08826989 	    0.03384828
     45 	    0.07025610 	    0.01583449
     46 	    0.06284383 	    0.00842221
     47 	    0.07163210 	    0.01721048
     48 	    0.08527064 	    0.03084903
     49 	    0.07053762 	    0.01611601
     50 	    0.05600415 	    0.00158253
     51 	    0.05292536 	   -0.00149625
     52 	    0.05891861 	    0.00449699
     53 	    0.05289649 	   -0.00152512
     54 	    0.05175722 	   -0.00266440
     55 	    0.06528109 	    0.01085947
     56 	    0.05043792 	   -0.00398369
     57 	    0.05389689 	   -0.00052472
     58 	    0.07563627 	    0.02121465
     59 	    0.04948080 	   -0.00494081
     60 	    0.06260644 	    0.00818482
     61 	    0.06697499 	    0.01255337
     62 	    0.06677625 	    0.01235464
     63 	    0.06955003 	    0.01512842
     64 	    0.07111672 	    0.01669511
     65 	    0.07014186 	    0.01572025
     66 	    0.07655488 	    0.02213326
     67 	    0.04545278 	   -0.00896884
     68 	    0.09253960 	    0.03811798
     69 	    0.07352842 	    0.01910680
     70 	    0.08403654 	    0.02961492
     71 	    0.06674180 	    0.01232018
     72 	    0.07077486 	    0.01635324
     73 	    0.06370880 	    0.00928719
     74 	    0.06972380 	    0.01530219
     75 	    0.05102295 	   -0.00339866
     76 	    0.09019801 	    0.03577640
     77 	    0.05637018 	    0.00194856
     78 	    0.07347551 	    0.01905390
     79 	    0.04778101 	   -0.00664060
     80 	    0.06560177 	    0.01118016
     81 	    0.04648294 	   -0.00793867
     82 	    0.07150378 	    0.01708217
     83 	    0.07838911 	    0.02396750
     84 	    0.07896859 	    0.02454698
     85 	    0.05039939 	   -0.00402222
     86 	    0.07555571 	    0.02113410
     87 	    0.05994091 	    0.00551930
     88 	    0.06452298 	    0.01010136
     89 	    0.05931128 	    0.00488967
     90 	    0.07553461 	    0.02111300
     91 	    0.05946486 	    0.00504325
     92 	    0.05729983 	    0.00287821
     93 	    0.06078095 	    0.00635933
     94 	    0.07667925 	    0.02225764
     95 	    0.06045112 	    0.00602950
     96 	    0.06065786 	    0.00623625
     97 	    0.06345756 	    0.00903594
     98 	    0.05963257 	    0.00521095
     99 	    0.05113729 	   -0.00328433
    100 	    0.06000635 	    0.00558474
    101 	    0.09187684 	    0.03745523
    102 	    0.06984654 	    0.01542492
    103 	    0.07811902 	    0.02369741
    104 	    0.04976616 	   -0.00465545
    105 	    0.06234690 	    0.00792528
    106 	    0.05557732 	    0.00115571
    107 	    0.05593354 	    0.00151192
    108 	    0.05975536 	    0.00533375
    109 	    0.04253493 	   -0.01188668
    110 	    0.06060361 	    0.00618200
    111 	    0.06813108 	    0.01370946
    112 	    0.04820108 	   -0.00622054
    113 	    0.05996410 	    0.00554249
    114 	    0.06272379 	    0.00830217
    115 	    0.07703239 	    0.02261078
    116 	    0.05964032 	    0.00521871
    117 	    0.05625196 	    0.00183035
    118 	    0.07124248 	    0.01682087
    119 	    0.06638920 	    0.01196759
    120 	    0.06615783 	    0.01173622
    121 	    0.08318764 	    0.02876603
    122 	    0.07377379 	    0.01935218
    123 	    0.07026569 	    0.01584408
